time,raw_phoneme,F1,F2,F3,duration,word,phoneme
190.0455114,a,392.2758731,1400.701715,2379.445987,0.127528745,,
190.2839902,o,352.6554762,822.0395698,2531.192631,0.186191967,,
190.5071655,a,586.8744845,1460.022486,2591.184724,0.096921846,,
192.3867433,o,433.6172524,813.4742925,2590.776956,0.211697716,,
192.6545537,a,355.4636633,1401.612869,2558.788898,0.089270121,,
193.7400853,o,429.8309824,831.2923224,2538.662901,0.198944842,,
193.9772888,a,453.1892176,1326.317285,2269.755181,0.051011498,,
194.1966382,a,159.7907548,1037.238544,2237.129592,0.122427595,,
197.7777438,o,396.0762148,909.5382661,2337.94367,0.173439093,,
197.9983685,u,335.9033135,1127.999624,2200.207647,0.053562073,,
198.1552289,a,423.0270296,1049.259452,2192.004223,0.112225295,,
198.3720278,o,432.6785144,850.1919687,2685.817491,0.173439093,,
198.6181582,a,744.6788813,1419.835464,2608.006048,0.12497817,,
199.130399,o,439.9865844,920.0241911,2335.462961,0.094371271,,
199.307664,u,340.4721097,1117.664787,2158.637116,0.056112648,,
199.4645243,a,243.8593507,1082.925171,2126.04074,0.094371271,,
199.6876996,o,387.8990879,915.0761763,2352.754109,0.147933344,,
201.6106372,e,410.4199148,1209.162511,1878.799604,0.109674721,,
201.9179815,e,427.9603485,1757.260291,2444.215071,0.183641393,,
202.78727,e,369.5201579,1912.702626,2379.47417,0.11477587,,
203.0742097,e,395.9288578,1678.584984,2407.339185,0.142832194,,
204.6450698,e,385.0331305,1762.390677,2302.276661,0.142832194,,
204.7713232,u,290.4405693,1252.735176,2273.950179,0.109674721,,
205.0161784,i,336.6797079,1872.006652,2453.484711,0.104573571,,
205.5876381,e,338.1851345,1699.335766,2106.524931,0.094371271,,
205.6692565,u,313.8448983,1519.831842,2199.28815,0.068865522,,
205.8720272,i,357.3654862,1787.88083,2236.468632,0.066314947,,
209.5947553,o,334.0155441,896.6834135,2079.281288,0.175989668,,
209.8536386,a,547.0430141,1162.487482,2285.547516,0.142832194,,
210.0972185,o,459.8359955,837.3938524,2560.818184,0.13007932,,
210.334422,a,816.673606,1440.136738,2542.152324,0.109674721,,
210.9639891,o,825.1678541,2345.595037,2790.813303,0.145382769,,
211.1297764,a,260.5922227,1172.446102,2462.905913,0.058663223,,
211.3146931,o,327.2207912,1009.548483,2477.85463,0.132629895,,
211.4855816,a,730.1952541,1836.443071,3078.765923,0.061213798,,
213.7751809,e,321.7572991,1592.108638,2334.936458,0.073966672,,
213.9779516,e,450.16605,1733.26971,2484.244333,0.188742542,,
214.2470373,a,338.7330478,1003.035581,2285.415091,0.13518047,,
214.9447829,e,322.2882327,1685.908154,2361.407267,0.084168972,,
215.1552053,e,421.0297448,1687.553292,2460.392677,0.137731044,,
215.4077123,e,219.136871,1689.577646,2322.199581,0.132629895,,
215.8012857,e,265.2822251,1716.884134,2321.653611,0.073966672,,
215.9811013,e,421.4694073,1778.23381,2330.5526,0.137731044,,
216.2310576,e,148.3371876,1738.79868,2279.900448,0.071416097,,
217.895668,i,314.6830865,2067.166343,2572.167373,0.183641393,,
218.4046056,o,375.6781381,709.5863414,2299.714248,0.086719547,,
218.5640165,e,328.0618457,1594.632795,1717.668661,0.063764372,,
218.7030229,a,624.9336192,1500.30892,2603.46825,0.051011498,,
220.0130705,i,318.3567124,2140.388547,2385.130572,0.181090818,,
220.1814084,u,302.3930044,1015.108076,2384.810039,0.155585069,,
220.3943814,e,280.647599,1547.331718,2377.116632,0.071416097,,
220.5805734,a,372.9856285,1375.642351,2182.789428,0.137731044,,
223.1208809,a,654.1972281,1312.341397,2513.47024,0.12497817,,
223.3835901,e,486.3002092,1647.869335,2337.93534,0.11987702,,
223.7432212,o,403.1500841,915.0811069,2524.833006,0.089270121,,
223.9408907,a,989.4886561,1661.710818,2721.923538,0.102022996,,
225.383601,a,550.3428401,1235.082016,2451.317924,0.107124146,,
225.6208044,e,379.1583956,1558.150559,2335.650239,0.096921846,,
225.8631091,o,308.0942469,868.1858058,2403.781724,0.066314947,,
225.9778849,a,236.2897093,1470.055771,2328.903021,0.051011498,,
231.1941711,i,345.0268444,1878.638626,2473.692569,0.173439093,,
231.3574079,a,650.1508264,1139.221051,2525.322117,0.153034494,,
231.4849366,u,321.7121335,987.0493684,2181.867392,0.102022996,,
231.6622016,i,286.5629819,1981.785028,2597.263031,0.089270121,,
231.8585958,i,306.0340197,2095.679047,2444.868983,0.150483919,,
232.0741194,i,301.6071543,1980.956358,2652.85004,0.086719547,,
232.4684122,i,321.465482,1987.611427,2456.453394,0.122427595,,
232.5806374,a,585.1797994,1355.879167,2433.206978,0.102022996,,
232.6864863,u,245.2944338,1088.820258,2276.445988,0.109674721,,
232.862476,i,318.915184,1906.334842,2626.527524,0.089270121,,
233.0244375,i,285.3261354,2063.424928,2611.17534,0.153034494,,
233.2463375,i,304.8218659,1935.883497,2680.150908,0.102022996,,
240.9286907,e,378.4348735,1678.038193,2485.781817,0.214248291,,
242.2872318,e,359.9292876,1664.224425,2390.25021,0.214248291,,
245.5934315,a,775.0108642,1176.663405,2552.533273,0.173439093,,
245.8943994,a,556.7875968,1294.425995,2064.396575,0.081618397,,
246.0678385,a,580.5071476,1204.512242,2516.037236,0.122427595,,
246.700512,a,714.6409372,1318.276458,2542.398307,0.183641393,,
246.9912775,a,614.9507676,1335.136387,2677.290171,0.081618397,,
247.1876718,a,1023.223442,1324.286306,2777.018266,0.117326445,,
249.6266105,e,383.2372649,1792.347993,2444.439629,0.214248291,,
250.5142105,e,390.8468112,1700.446589,2398.419047,0.173439093,,
252.4300851,a,568.5377414,1217.355423,2456.881561,0.147933344,,
252.7514575,a,627.9914333,1100.980086,2497.683597,0.178540243,,
253.6775127,a,599.6784867,1197.190162,2433.28646,0.117326445,,
253.9657276,a,551.83797,1092.144705,2661.149663,0.122427595,,
256.8293697,a,560.3078271,1167.557693,2446.004987,0.112225295,,
257.0665731,a,530.5227909,1111.402211,2465.930497,0.117326445,,
257.3649904,o,462.1017782,848.1020941,2525.09515,0.163236793,,
257.7705318,i,303.9232167,1950.07397,1950.965897,0.311170137,,
259.1290728,o,453.8213241,887.1530735,2382.846891,0.147933344,,
260.1099325,o,460.7956695,1014.004167,2407.911174,0.142832194,,
262.2947943,e,377.3440047,1595.465143,2406.716234,0.086719547,,
262.6238184,o,491.110028,1103.451909,2577.802044,0.112225295,,
263.3152861,e,406.5027193,1544.387576,2422.743196,0.086719547,,
263.6086022,o,547.0324977,1085.473876,2450.8357,0.091820696,,
267.8359523,i,364.184352,1775.863265,2300.267008,0.158135644,,
268.0195937,a,624.9978852,1409.332954,2410.006348,0.209147142,,
268.6776421,e,363.3386596,1771.576928,2409.548996,0.127528745,,
268.9173961,a,648.3374346,1456.01248,2425.429867,0.117326445,,
269.2387685,i,346.8739293,2009.083872,2073.559243,0.107124146,,
269.3407915,o,300.6412151,1334.687016,2269.941428,0.096921846,,
269.5340038,i,312.1470832,2136.009614,2223.410883,0.149196241,,
269.8147202,e,318.3766768,1805.610304,2446.885727,0.104573571,,
270.022592,a,429.3921504,1390.405853,2424.447887,0.091820696,,
270.310807,i,286.4758123,1955.667596,2360.443946,0.086719547,,
270.4013524,o,336.8899979,1578.465036,2422.165011,0.094371271,,
270.5926455,i,241.8598597,1874.105696,2250.912394,0.145382769,,
